,Count
 None,24764
 PBMC,13838
 CTL culture,57
 cultured T-cells,10
 UBC,24
 TCL culture,16
 lung,63
 spleen,53
 lymph node,23
 synovial fluid,22
 sinovial_fluid,1
 TCL,201
 CTL,18
 tonsil,126
 clone,8
 Polyclonal T-cell line,11
 TIL,25
 LN,42
